prison_name_original,prison_name_group,cat_a,cat_b,cat_c,cat_d,open,male,youth,adult,local,high_security,sex_offender,operator,done,opened,closed,prison_meta_info_source,,,,
Lincoln,Lincoln,,1,,,,1,,1,,,,,1,1872,,http://www.justice.gov.uk/contacts/prison-finder/lincoln,,,,
Lindholme,Lindholme (IRC),,,1,,,1,,1,,,,,1,1985,,https://www.justice.gov.uk/contacts/prison-finder/lindholme,,,,
Lindholme (IRC),Lindholme (IRC),,,1,,,1,,1,,,,,1,1985,,https://www.justice.gov.uk/contacts/prison-finder/lindholme,,,,
Littlehey,Littlehey,,,1,,,1,,1,,,1,,1,1945,,http://www.justice.gov.uk/contacts/prison-finder/littlehey,,,,
Liverpool,Liverpool,,1,1,,,1,,1,1,,,,1,1855,,https://en.wikipedia.org/wiki/HM_Prison_Liverpool,,,,
Long Lartin,Long Lartin,1,,,,,1,,1,,,,,1,1971,,http://www.justice.gov.uk/contacts/prison-finder/long-lartin,,,,
Low Newton,Low Newton,,,,,,0,1,,,,,,1,1965,,http://www.justice.gov.uk/contacts/prison-finder/low-newton,,,,
Lowdham Grange,Lowdham Grange,,1,,,,1,,1,,,,Serco,1,1998,,http://www.justice.gov.uk/contacts/prison-finder/lowdham-grange,,,,
Maidstone,Maidstone,,,1,,,1,,1,,,,,1,1819,,http://www.justice.gov.uk/contacts/prison-finder/maidstone,,,,
Manchester,Manchester,1,,,,,1,,1,1,,,,1,1868,,http://www.justice.gov.uk/contacts/prison-finder/manchester,,,,
Moorland,Moorland,,,1,,,1,1,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Moorland,,,,
Moorland***,Moorland,,,1,1,,1,1,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Moorland,,,,
Moorland / Hatfield,Moorland,,,1,1,,1,1,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Moorland,,,,
Moorland/ Moorland Open,Moorland,,,1,1,,1,1,1,,,,,1,?,,https://en.wikipedia.org/wiki/HM_Prison_Moorland,,,,
Morton Hall,Morton Hall (IRC),,,,,,,,,,,,,1,1985,,http://www.justice.gov.uk/contacts/prison-finder/morton-hall,,,,
Morton Hall (IRC),Morton Hall (IRC),,,,,,,,,,,,,1,1985,,http://www.justice.gov.uk/contacts/prison-finder/morton-hall,,,,
