prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Ford,557,445,445,383,0.86,0.8,2011-01-28,10004C44pop_bull_jan_11.txt
Forest Bank,1064,1064,1424,1325,1.25,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Foston Hall,286,286,298,244,0.85,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Frankland,859,859,859,821,0.96,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Full Sutton,604,596,608,595,1.0,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Garth,812,812,847,834,1.03,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Gartree,677,677,677,667,0.99,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Glen Parva,652,652,808,686,1.05,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Gloucester,225,225,321,298,1.32,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Grendon/ Spring Hill,587,573,573,534,0.93,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Guys Marsh,520,452,509,503,1.11,0.87,2011-01-28,10004C44pop_bull_jan_11.txt
Haslar,160,124,134,124,1.0,0.78,2011-01-28,10004C44pop_bull_jan_11.txt
Haverigg,622,622,644,617,0.99,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Hewell,1173,1173,1431,1351,1.15,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
High Down,999,999,1103,1006,1.01,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Highpoint,920,920,944,920,1.0,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Hindley,506,440,440,287,0.65,0.87,2011-01-28,10004C44pop_bull_jan_11.txt
Hollesley Bay,365,365,365,364,1.0,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Holloway,540,533,533,437,0.82,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Holme House,1034,1034,1212,969,0.94,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Hull,723,723,1044,950,1.31,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Huntercombe,372,372,372,302,0.81,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Isis,288,288,288,195,0.68,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Isle of Wight***,1563,1550,1686,1669,1.08,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Kennet,175,175,342,338,1.93,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Kingston,199,199,199,199,1.0,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Kirkham,592,592,592,581,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Kirklevington Grange,283,283,283,260,0.92,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Lancaster,161,161,243,200,1.24,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Lancaster Farms,480,480,530,506,1.05,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Latchmere House,207,207,207,202,0.98,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Leeds,829,776,1088,1113,1.43,0.94,2011-01-28,10004C44pop_bull_jan_11.txt
Leicester,210,210,392,343,1.63,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Lewes,623,495,507,472,0.95,0.79,2011-01-28,10004C44pop_bull_jan_11.txt
Leyhill,532,491,491,470,0.96,0.92,2011-01-28,10004C44pop_bull_jan_11.txt
Lincoln,431,427,729,558,1.31,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Lindholme,1054,1038,1118,1080,1.04,0.98,2011-01-28,10004C44pop_bull_jan_11.txt
Littlehey,1143,1143,1206,1150,1.01,1.0,2011-01-28,10004C44pop_bull_jan_11.txt
Liverpool,1188,1157,1423,1173,1.01,0.97,2011-01-28,10004C44pop_bull_jan_11.txt
Long Lartin,629,622,622,614,0.99,0.99,2011-01-28,10004C44pop_bull_jan_11.txt
Low Newton,314,259,282,229,0.88,0.82,2011-01-28,10004C44pop_bull_jan_11.txt
