prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,date,source
Swinfen Hall,604,604,624,603,1.0,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Thameside,932,932,1232,1188,1.27,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Thorn Cross,381,381,381,373,0.98,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Usk / Prescoed,378,378,536,528,1.4,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Wakefield,750,732,732,724,0.99,0.98,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Wandsworth,963,943,1628,1600,1.7,0.98,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Warren Hill,257,257,257,229,0.89,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Wayland,958,886,964,954,1.08,0.92,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Wealstun,810,809,832,816,1.01,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Werrington,118,118,142,111,0.94,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Wetherby,408,336,336,285,0.85,0.82,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Whatton,775,769,841,838,1.09,0.99,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Whitemoor,473,458,458,439,0.96,0.97,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Winchester,469,469,685,676,1.44,1.0,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
Woodhill,660,568,727,690,1.21,0.86,2016-05-27,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/528580/may-monthly-bulletin.rtf
