prison_name,baseline_cna,in_use_cna,operational_capacity,population,perc_pop_to_used_cna,perc_acc_available,month_text,month
Forest Bank,1064,1064,1460,1424,1.34,1.0, May 2016,2016-05-11
Foston Hall,303,303,345,339,1.12,1.0, May 2016,2016-05-11
Frankland,859,844,844,787,0.93,0.98, May 2016,2016-05-11
Full Sutton,606,606,626,580,0.96,1.0, May 2016,2016-05-11
Garth,810,810,845,833,1.03,1.0, May 2016,2016-05-11
Gartree,708,708,708,704,0.99,1.0, May 2016,2016-05-11
Glen Parva,637,519,648,510,0.98,0.81, May 2016,2016-05-11
Grendon / Springhill,586,568,568,544,0.96,0.97, May 2016,2016-05-11
Guys Marsh,518,518,579,573,1.11,1.0, May 2016,2016-05-11
Hatfield,390,338,338,334,0.99,0.87, May 2016,2016-05-11
Haverigg,622,622,654,615,0.99,1.0, May 2016,2016-05-11
Hewell,1018,1018,1279,1210,1.19,1.0, May 2016,2016-05-11
High Down,999,999,1203,1188,1.19,1.0, May 2016,2016-05-11
Highpoint (North and South),1299,1297,1323,1297,1.0,1.0, May 2016,2016-05-11
Hindley,532,492,540,507,1.03,0.92, May 2016,2016-05-11
Hollesley Bay,437,424,424,409,0.96,0.97, May 2016,2016-05-11
Holloway,95,94,100,84,0.89,0.99, May 2016,2016-05-11
Holme House,1036,1036,1230,1218,1.18,1.0, May 2016,2016-05-11
Hull,723,723,1056,993,1.37,1.0, May 2016,2016-05-11
Humber,947,947,1062,1044,1.1,1.0, May 2016,2016-05-11
Huntercombe,370,367,436,434,1.18,0.99, May 2016,2016-05-11
Isis,478,478,628,612,1.28,1.0, May 2016,2016-05-11
Isle of Wight,1068,976,1096,1081,1.11,0.91, May 2016,2016-05-11
Kennet,175,175,342,329,1.88,1.0, May 2016,2016-05-11
Kirkham,657,657,657,578,0.88,1.0, May 2016,2016-05-11
Kirklevington Grange,283,283,283,250,0.88,1.0, May 2016,2016-05-11
Lancaster Farms,495,495,549,546,1.1,1.0, May 2016,2016-05-11
Leeds,669,669,1212,1138,1.7,1.0, May 2016,2016-05-11
Leicester,214,214,403,327,1.53,1.0, May 2016,2016-05-11
Lewes,617,617,692,644,1.04,1.0, May 2016,2016-05-11
Leyhill,515,515,515,501,0.97,1.0, May 2016,2016-05-11
Lincoln,408,403,729,623,1.55,0.99, May 2016,2016-05-11
Lindholme,924,916,994,992,1.08,0.99, May 2016,2016-05-11
Littlehey,1154,1154,1220,1214,1.05,1.0, May 2016,2016-05-11
Liverpool,1173,1101,1386,1093,0.99,0.94, May 2016,2016-05-11
Long Lartin,625,548,548,533,0.97,0.88, May 2016,2016-05-11
Low Newton,314,306,344,335,1.09,0.97, May 2016,2016-05-11
Lowdham Grange,900,900,920,914,1.02,1.0, May 2016,2016-05-11
Maidstone,565,565,600,595,1.05,1.0, May 2016,2016-05-11
Manchester,965,965,1286,1023,1.06,1.0, May 2016,2016-05-11
Moorland,943,943,1006,999,1.06,1.0, May 2016,2016-05-11
Mount,1008,1002,1016,1004,1.0,0.99, May 2016,2016-05-11
New Hall,392,371,425,402,1.08,0.95, May 2016,2016-05-11
North Sea Camp,420,420,420,352,0.84,1.0, May 2016,2016-05-11
Northumberland,1348,1348,1348,1336,0.99,1.0, May 2016,2016-05-11
Norwich,626,626,775,712,1.14,1.0, May 2016,2016-05-11
Nottingham,723,723,1060,1014,1.4,1.0, May 2016,2016-05-11
Oakwood,1605,1605,1605,1596,0.99,1.0, May 2016,2016-05-11
Onley,742,742,742,721,0.97,1.0, May 2016,2016-05-11
Parc,1557,1557,1723,1653,1.06,1.0, May 2016,2016-05-11
Pentonville,906,906,1316,1286,1.42,1.0, May 2016,2016-05-11
Peterborough (Male & Female),1132,1119,1312,1268,1.13,0.99, May 2016,2016-05-11
Portland,464,464,500,490,1.06,1.0, May 2016,2016-05-11
Preston,455,455,841,749,1.65,1.0, May 2016,2016-05-11
Ranby,893,832,1038,1012,1.22,0.93, May 2016,2016-05-11
Risley,1050,1050,1115,1101,1.05,1.0, May 2016,2016-05-11
Rochester,802,754,754,730,0.97,0.94, May 2016,2016-05-11
Rye Hill,600,600,625,622,1.04,1.0, May 2016,2016-05-11
Send,282,282,282,281,1.0,1.0, May 2016,2016-05-11
Stafford,741,741,751,743,1.0,1.0, May 2016,2016-05-11
Standford Hill (Sheppey),464,464,464,462,1.0,1.0, May 2016,2016-05-11
Stocken,768,668,733,710,1.06,0.87, May 2016,2016-05-11
Stoke Heath,662,662,782,768,1.16,1.0, May 2016,2016-05-11
Styal,479,470,485,474,1.01,0.98, May 2016,2016-05-11
Sudbury,581,581,581,522,0.9,1.0, May 2016,2016-05-11
Swaleside (Sheppey),1112,1112,1112,1102,0.99,1.0, May 2016,2016-05-11
Swansea,268,268,500,404,1.51,1.0, May 2016,2016-05-11
Swinfen Hall,604,604,624,603,1.0,1.0, May 2016,2016-05-11
Thameside,932,932,1232,1188,1.27,1.0, May 2016,2016-05-11
Thorn Cross,381,381,381,373,0.98,1.0, May 2016,2016-05-11
Usk / Prescoed,378,378,536,528,1.4,1.0, May 2016,2016-05-11
Wakefield,750,732,732,724,0.99,0.98, May 2016,2016-05-11
Wandsworth,963,943,1628,1600,1.7,0.98, May 2016,2016-05-11
Warren Hill,257,257,257,229,0.89,1.0, May 2016,2016-05-11
Wayland,958,886,964,954,1.08,0.92, May 2016,2016-05-11
Wealstun,810,809,832,816,1.01,1.0, May 2016,2016-05-11
Werrington,118,118,142,111,0.94,1.0, May 2016,2016-05-11
Wetherby,408,336,336,285,0.85,0.82, May 2016,2016-05-11
Whatton,775,769,841,838,1.09,0.99, May 2016,2016-05-11
Whitemoor,473,458,458,439,0.96,0.97, May 2016,2016-05-11
Winchester,469,469,685,676,1.44,1.0, May 2016,2016-05-11
Woodhill,660,568,727,690,1.21,0.86, May 2016,2016-05-11
Wormwood Scrubs,1156,1156,1279,1271,1.1,1.0, May 2016,2016-05-11
Wymott,1099,1099,1169,1162,1.06,1.0, May 2016,2016-05-11
Morton Hall (IRC),392,392,392,367,0.94,1.0, May 2016,2016-05-11
Verne (IRC),570,570,580,432,0.76,1.0, May 2016,2016-05-11
Altcourse,794,794,1133,1118,1.41,1.0, April 2015,2015-04-11
Ashfield,408,408,400,392,0.96,1.0, April 2015,2015-04-11
Askham Grange,150,126,128,94,0.75,0.84, April 2015,2015-04-11
Aylesbury,410,410,444,390,0.95,1.0, April 2015,2015-04-11
Bedford,322,322,506,488,1.52,1.0, April 2015,2015-04-11
Belmarsh,781,781,930,861,1.1,1.0, April 2015,2015-04-11
Birmingham,1093,1093,1450,1414,1.29,1.0, April 2015,2015-04-11
Brinsford,545,423,455,374,0.88,0.78, April 2015,2015-04-11
Bristol,425,407,614,596,1.46,0.96, April 2015,2015-04-11
Brixton,530,530,810,809,1.53,1.0, April 2015,2015-04-11
Bronzefield,527,527,527,505,0.96,1.0, April 2015,2015-04-11
Buckley Hall,409,409,455,445,1.09,1.0, April 2015,2015-04-11
Bullingdon,879,879,1114,1097,1.25,1.0, April 2015,2015-04-11
Bure,611,611,651,638,1.04,1.0, April 2015,2015-04-11
Cardiff,539,539,820,799,1.48,1.0, April 2015,2015-04-11
Channings Wood,698,698,731,718,1.03,1.0, April 2015,2015-04-11
Chelmsford,551,551,745,726,1.32,1.0, April 2015,2015-04-11
Coldingley,507,507,519,505,1.0,1.0, April 2015,2015-04-11
Cookham Wood,188,188,188,165,0.88,1.0, April 2015,2015-04-11
Dartmoor,642,639,660,625,0.98,1.0, April 2015,2015-04-11
Deerbolt,513,513,513,396,0.77,1.0, April 2015,2015-04-11
Doncaster,738,738,1145,1090,1.48,1.0, April 2015,2015-04-11
Dovegate,1064,1060,1133,1109,1.05,1.0, April 2015,2015-04-11
Drake Hall,340,340,340,313,0.92,1.0, April 2015,2015-04-11
Durham,591,591,995,927,1.57,1.0, April 2015,2015-04-11
East Sutton Park,98,98,100,89,0.91,1.0, April 2015,2015-04-11
Eastwood Park,410,315,363,322,1.02,0.77, April 2015,2015-04-11
Elmley (Sheppey),943,931,1130,1116,1.2,0.99, April 2015,2015-04-11
Erlestoke,494,494,524,520,1.05,1.0, April 2015,2015-04-11
Exeter,326,318,561,517,1.63,0.98, April 2015,2015-04-11
Featherstone,671,671,687,672,1.0,1.0, April 2015,2015-04-11
Feltham,762,650,650,557,0.86,0.85, April 2015,2015-04-11
Ford,521,521,524,506,0.97,1.0, April 2015,2015-04-11
Forest Bank,1064,1064,1460,1416,1.33,1.0, April 2015,2015-04-11
Foston Hall,303,303,345,293,0.97,1.0, April 2015,2015-04-11
Frankland,859,844,844,819,0.97,0.98, April 2015,2015-04-11
Full Sutton,604,596,616,586,0.98,0.99, April 2015,2015-04-11
Garth,811,738,773,758,1.03,0.91, April 2015,2015-04-11
Gartree,708,708,719,706,1.0,1.0, April 2015,2015-04-11
Glen Parva,637,589,728,538,0.91,0.92, April 2015,2015-04-11
Grendon / Springhill,586,554,554,530,0.96,0.95, April 2015,2015-04-11
Guys Marsh,518,518,579,551,1.06,1.0, April 2015,2015-04-11
Hatfield,266,266,266,258,0.97,1.0, April 2015,2015-04-11
Haverigg,622,622,644,631,1.01,1.0, April 2015,2015-04-11
Hewell,1018,1018,1309,1278,1.26,1.0, April 2015,2015-04-11
High Down,999,999,1163,1153,1.15,1.0, April 2015,2015-04-11
Highpoint (North and South),1311,1311,1343,1329,1.01,1.0, April 2015,2015-04-11
Hindley,534,350,398,319,0.91,0.66, April 2015,2015-04-11
Hollesley Bay,424,352,352,341,0.97,0.83, April 2015,2015-04-11
Holloway,540,533,591,498,0.93,0.99, April 2015,2015-04-11
Holme House,1036,1036,1210,1180,1.14,1.0, April 2015,2015-04-11
Hull,723,723,1044,982,1.36,1.0, April 2015,2015-04-11
Humber,948,924,1062,1033,1.12,0.97, April 2015,2015-04-11
Huntercombe,370,307,430,429,1.4,0.83, April 2015,2015-04-11
Isis,478,478,622,600,1.26,1.0, April 2015,2015-04-11
Isle of Wight,1056,996,1079,1074,1.08,0.94, April 2015,2015-04-11
Kennet,175,175,342,231,1.32,1.0, April 2015,2015-04-11
Kirkham,657,657,657,595,0.91,1.0, April 2015,2015-04-11
Kirklevington Grange,283,283,283,276,0.98,1.0, April 2015,2015-04-11
Lancaster Farms,495,495,549,545,1.1,1.0, April 2015,2015-04-11
Leeds,669,669,1212,1196,1.79,1.0, April 2015,2015-04-11
Leicester,214,214,411,348,1.63,1.0, April 2015,2015-04-11
Lewes,617,617,722,652,1.06,1.0, April 2015,2015-04-11
Leyhill,527,527,527,468,0.89,1.0, April 2015,2015-04-11
Lincoln,408,403,729,604,1.5,0.99, April 2015,2015-04-11
Lindholme,1048,924,1010,985,1.07,0.88, April 2015,2015-04-11
Littlehey,1154,1151,1217,1217,1.06,1.0, April 2015,2015-04-11
Liverpool,1173,1101,1386,1205,1.09,0.94, April 2015,2015-04-11
Long Lartin,625,625,625,623,1.0,1.0, April 2015,2015-04-11
Low Newton,314,291,329,267,0.92,0.93, April 2015,2015-04-11
Lowdham Grange,900,900,920,920,1.02,1.0, April 2015,2015-04-11
Maidstone,565,565,600,595,1.05,1.0, April 2015,2015-04-11
Manchester,965,965,1286,1119,1.16,1.0, April 2015,2015-04-11
Moorland,943,943,1006,986,1.05,1.0, April 2015,2015-04-11
Mount,1000,1000,1020,961,0.96,1.0, April 2015,2015-04-11
New Hall,395,371,425,387,1.04,0.94, April 2015,2015-04-11
North Sea Camp,420,420,420,323,0.77,1.0, April 2015,2015-04-11
Northumberland,1348,1339,1339,1298,0.97,0.99, April 2015,2015-04-11
Norwich,626,626,769,755,1.21,1.0, April 2015,2015-04-11
Nottingham,723,723,1060,1053,1.46,1.0, April 2015,2015-04-11
Oakwood,1605,1605,1605,1589,0.99,1.0, April 2015,2015-04-11
Onley,742,742,747,733,0.99,1.0, April 2015,2015-04-11
Parc,1322,1322,1626,1557,1.18,1.0, April 2015,2015-04-11
Pentonville,915,915,1316,1300,1.42,1.0, April 2015,2015-04-11
Peterborough (Male & Female),1132,1119,1252,1183,1.06,0.99, April 2015,2015-04-11
Portland,464,464,531,502,1.08,1.0, April 2015,2015-04-11
Preston,456,430,786,689,1.6,0.94, April 2015,2015-04-11
Ranby,893,892,1098,1068,1.2,1.0, April 2015,2015-04-11
Risley,1050,1050,1115,1091,1.04,1.0, April 2015,2015-04-11
Rochester,802,738,750,731,0.99,0.92, April 2015,2015-04-11
Rye Hill,600,600,625,619,1.03,1.0, April 2015,2015-04-11
Send,282,282,282,280,0.99,1.0, April 2015,2015-04-11
Stafford,741,741,741,739,1.0,1.0, April 2015,2015-04-11
Standford Hill (Sheppey),464,464,464,458,0.99,1.0, April 2015,2015-04-11
Stocken,768,768,843,827,1.08,1.0, April 2015,2015-04-11
Stoke Heath,662,662,782,754,1.14,1.0, April 2015,2015-04-11
Styal,479,470,485,462,0.98,0.98, April 2015,2015-04-11
Sudbury,581,581,581,463,0.8,1.0, April 2015,2015-04-11
Swaleside (Sheppey),1112,1112,1112,1097,0.99,1.0, April 2015,2015-04-11
Swansea,250,242,455,420,1.74,0.97, April 2015,2015-04-11
Swinfen Hall,604,544,594,561,1.03,0.9, April 2015,2015-04-11
Thameside,600,600,900,877,1.46,1.0, April 2015,2015-04-11
Thorn Cross,381,381,381,323,0.85,1.0, April 2015,2015-04-11
Usk / Prescoed,378,378,503,489,1.29,1.0, April 2015,2015-04-11
Wakefield,751,730,730,727,1.0,0.97, April 2015,2015-04-11
Wandsworth,963,943,1658,1607,1.7,0.98, April 2015,2015-04-11
Warren Hill,257,212,212,132,0.62,0.82, April 2015,2015-04-11
Wayland,957,924,1004,1000,1.08,0.97, April 2015,2015-04-11
Wealstun,810,801,824,824,1.03,0.99, April 2015,2015-04-11
Werrington,160,160,160,112,0.7,1.0, April 2015,2015-04-11
Wetherby,396,336,336,287,0.85,0.85, April 2015,2015-04-11
Whatton,775,769,841,833,1.08,0.99, April 2015,2015-04-11
Whitemoor,473,458,458,447,0.98,0.97, April 2015,2015-04-11
Winchester,469,469,690,669,1.43,1.0, April 2015,2015-04-11
Woodhill,660,568,727,718,1.26,0.86, April 2015,2015-04-11
Wormwood Scrubs,1156,1156,1279,1249,1.08,1.0, April 2015,2015-04-11
Wymott,1102,1102,1143,1122,1.02,1.0, April 2015,2015-04-11
Dover (IRC),401,401,401,366,0.91,1.0, April 2015,2015-04-11
Morton Hall (IRC),392,392,392,348,0.89,1.0, April 2015,2015-04-11
Verne (IRC),570,570,580,534,0.94,1.0, April 2015,2015-04-11
Altcourse,794,794,1033,1031,1.3,1.0, October 2015,2015-10-11
Ashfield,408,408,400,399,0.98,1.0, October 2015,2015-10-11
Askham Grange,150,126,128,102,0.81,0.84, October 2015,2015-10-11
Aylesbury,410,410,444,368,0.9,1.0, October 2015,2015-10-11
Bedford,322,322,506,443,1.38,1.0, October 2015,2015-10-11
Belmarsh,781,781,906,887,1.14,1.0, October 2015,2015-10-11
Birmingham,1093,1093,1450,1444,1.32,1.0, October 2015,2015-10-11
Brinsford,545,423,455,331,0.78,0.78, October 2015,2015-10-11
Bristol,425,407,614,604,1.48,0.96, October 2015,2015-10-11
Brixton,528,528,810,802,1.52,1.0, October 2015,2015-10-11
Bronzefield,527,527,527,514,0.98,1.0, October 2015,2015-10-11
Buckley Hall,409,409,455,452,1.11,1.0, October 2015,2015-10-11
Bullingdon,869,869,1114,1098,1.26,1.0, October 2015,2015-10-11
Bure,604,604,643,642,1.06,1.0, October 2015,2015-10-11
Cardiff,539,539,820,795,1.47,1.0, October 2015,2015-10-11
Channings Wood,698,698,724,715,1.02,1.0, October 2015,2015-10-11
Chelmsford,551,551,745,725,1.32,1.0, October 2015,2015-10-11
Coldingley,493,493,521,518,1.05,1.0, October 2015,2015-10-11
Cookham Wood,188,188,188,152,0.81,1.0, October 2015,2015-10-11
Dartmoor,642,640,640,638,1.0,1.0, October 2015,2015-10-11
Deerbolt,513,513,513,400,0.78,1.0, October 2015,2015-10-11
Doncaster,738,738,995,992,1.34,1.0, October 2015,2015-10-11
Dovegate,1064,1060,1133,1102,1.04,1.0, October 2015,2015-10-11
Drake Hall,340,340,340,318,0.94,1.0, October 2015,2015-10-11
Durham,595,595,996,928,1.56,1.0, October 2015,2015-10-11
East Sutton Park,100,100,100,90,0.9,1.0, October 2015,2015-10-11
Eastwood Park,410,315,363,336,1.07,0.77, October 2015,2015-10-11
Elmley (Sheppey),943,943,1175,1151,1.22,1.0, October 2015,2015-10-11
Erlestoke,494,494,524,523,1.06,1.0, October 2015,2015-10-11
Exeter,326,318,561,511,1.61,0.98, October 2015,2015-10-11
Featherstone,671,671,703,689,1.03,1.0, October 2015,2015-10-11
Feltham,768,560,560,503,0.9,0.73, October 2015,2015-10-11
Ford,521,506,524,501,0.99,0.97, October 2015,2015-10-11
Forest Bank,1064,1064,1460,1426,1.34,1.0, October 2015,2015-10-11
Foston Hall,303,303,345,304,1.0,1.0, October 2015,2015-10-11
Frankland,859,844,844,823,0.98,0.98, October 2015,2015-10-11
Full Sutton,604,596,616,584,0.98,0.99, October 2015,2015-10-11
Garth,810,810,845,818,1.01,1.0, October 2015,2015-10-11
Gartree,708,708,708,693,0.98,1.0, October 2015,2015-10-11
Glen Parva,637,519,648,509,0.98,0.81, October 2015,2015-10-11
Grendon / Springhill,586,568,568,537,0.95,0.97, October 2015,2015-10-11
Guys Marsh,518,518,579,569,1.1,1.0, October 2015,2015-10-11
Hatfield,390,310,310,302,0.97,0.79, October 2015,2015-10-11
Haverigg,622,622,654,640,1.03,1.0, October 2015,2015-10-11
Hewell,1018,1018,1279,1246,1.22,1.0, October 2015,2015-10-11
High Down,999,999,1163,1147,1.15,1.0, October 2015,2015-10-11
Highpoint (North and South),1299,1274,1300,1292,1.01,0.98, October 2015,2015-10-11
Hindley,524,510,558,496,0.97,0.97, October 2015,2015-10-11
Hollesley Bay,437,387,387,383,0.99,0.89, October 2015,2015-10-11
Holloway,540,533,591,544,1.02,0.99, October 2015,2015-10-11
Holme House,1036,1036,1230,1221,1.18,1.0, October 2015,2015-10-11
Hull,723,723,1056,1038,1.44,1.0, October 2015,2015-10-11
Humber,947,947,1062,1045,1.1,1.0, October 2015,2015-10-11
Huntercombe,370,307,430,421,1.37,0.83, October 2015,2015-10-11
Isis,478,478,628,619,1.29,1.0, October 2015,2015-10-11
Isle of Wight,1075,946,1059,1048,1.11,0.88, October 2015,2015-10-11
Kennet,175,175,342,317,1.81,1.0, October 2015,2015-10-11
Kirkham,657,657,657,615,0.94,1.0, October 2015,2015-10-11
Kirklevington Grange,283,283,283,277,0.98,1.0, October 2015,2015-10-11
Lancaster Farms,495,495,549,526,1.06,1.0, October 2015,2015-10-11
Leeds,669,669,1219,1166,1.74,1.0, October 2015,2015-10-11
Leicester,214,214,411,331,1.55,1.0, October 2015,2015-10-11
Lewes,617,617,692,653,1.06,1.0, October 2015,2015-10-11
Leyhill,515,515,515,508,0.99,1.0, October 2015,2015-10-11
Lincoln,408,403,729,611,1.52,0.99, October 2015,2015-10-11
Lindholme,924,916,1002,1002,1.09,0.99, October 2015,2015-10-11
Littlehey,1154,1153,1219,1214,1.05,1.0, October 2015,2015-10-11
Liverpool,1173,1101,1386,1153,1.05,0.94, October 2015,2015-10-11
Long Lartin,625,625,625,617,0.99,1.0, October 2015,2015-10-11
Low Newton,314,306,344,293,0.96,0.97, October 2015,2015-10-11
Lowdham Grange,900,900,920,916,1.02,1.0, October 2015,2015-10-11
Maidstone,565,565,600,591,1.05,1.0, October 2015,2015-10-11
Manchester,965,965,1286,976,1.01,1.0, October 2015,2015-10-11
Moorland,943,943,1006,987,1.05,1.0, October 2015,2015-10-11
Mount,1008,1008,1028,1019,1.01,1.0, October 2015,2015-10-11
New Hall,392,371,425,349,0.94,0.95, October 2015,2015-10-11
North Sea Camp,420,420,420,326,0.78,1.0, October 2015,2015-10-11
Northumberland,1348,1348,1348,1324,0.98,1.0, October 2015,2015-10-11
Norwich,626,626,775,716,1.14,1.0, October 2015,2015-10-11
Nottingham,723,723,1060,1041,1.44,1.0, October 2015,2015-10-11
Oakwood,1605,1605,1605,1599,1.0,1.0, October 2015,2015-10-11
Onley,742,742,742,740,1.0,1.0, October 2015,2015-10-11
Parc,1557,1557,1723,1673,1.07,1.0, October 2015,2015-10-11
Pentonville,906,906,1316,1308,1.44,1.0, October 2015,2015-10-11
Peterborough (Male & Female),1132,1119,1276,1225,1.09,0.99, October 2015,2015-10-11
Portland,464,464,531,506,1.09,1.0, October 2015,2015-10-11
Preston,455,455,841,695,1.53,1.0, October 2015,2015-10-11
Ranby,893,772,978,958,1.24,0.86, October 2015,2015-10-11
Risley,1050,1050,1115,1114,1.06,1.0, October 2015,2015-10-11
Rochester,802,742,753,751,1.01,0.93, October 2015,2015-10-11
Rye Hill,600,600,625,619,1.03,1.0, October 2015,2015-10-11
Send,282,282,282,278,0.99,1.0, October 2015,2015-10-11
Stafford,741,741,751,751,1.01,1.0, October 2015,2015-10-11
Standford Hill (Sheppey),464,464,464,460,0.99,1.0, October 2015,2015-10-11
Stocken,768,648,713,693,1.07,0.84, October 2015,2015-10-11
Stoke Heath,662,662,782,760,1.15,1.0, October 2015,2015-10-11
Styal,479,470,485,456,0.97,0.98, October 2015,2015-10-11
Sudbury,581,581,581,429,0.74,1.0, October 2015,2015-10-11
Swaleside (Sheppey),1112,1112,1112,1109,1.0,1.0, October 2015,2015-10-11
Swansea,271,271,504,442,1.63,1.0, October 2015,2015-10-11
Swinfen Hall,604,604,624,590,0.98,1.0, October 2015,2015-10-11
Thameside,932,932,1232,1182,1.27,1.0, October 2015,2015-10-11
Thorn Cross,381,381,381,369,0.97,1.0, October 2015,2015-10-11
Usk / Prescoed,378,378,536,511,1.35,1.0, October 2015,2015-10-11
Wakefield,750,731,731,728,1.0,0.97, October 2015,2015-10-11
Wandsworth,963,943,1628,1577,1.67,0.98, October 2015,2015-10-11
Warren Hill,257,240,240,194,0.81,0.93, October 2015,2015-10-11
Wayland,958,926,1004,1000,1.08,0.97, October 2015,2015-10-11
Wealstun,810,810,833,823,1.02,1.0, October 2015,2015-10-11
Werrington,142,142,142,116,0.82,1.0, October 2015,2015-10-11
Wetherby,396,336,336,274,0.82,0.85, October 2015,2015-10-11
Whatton,775,769,841,838,1.09,0.99, October 2015,2015-10-11
Whitemoor,473,458,458,446,0.97,0.97, October 2015,2015-10-11
Winchester,469,469,690,674,1.44,1.0, October 2015,2015-10-11
Woodhill,660,568,727,690,1.21,0.86, October 2015,2015-10-11
Wormwood Scrubs,1156,1156,1279,1247,1.08,1.0, October 2015,2015-10-11
Wymott,1102,1102,1171,1154,1.05,1.0, October 2015,2015-10-11
Morton Hall (IRC),392,392,392,386,0.98,1.0, October 2015,2015-10-11
Verne (IRC),570,570,580,541,0.95,1.0, October 2015,2015-10-11
Altcourse,794,794,1033,1027,1.29,1.0, July 2015,2015-07-11
Ashfield,408,408,400,397,0.97,1.0, July 2015,2015-07-11
Askham Grange,150,126,128,87,0.69,0.84, July 2015,2015-07-11
Aylesbury,410,410,444,379,0.92,1.0, July 2015,2015-07-11
Bedford,322,322,506,493,1.53,1.0, July 2015,2015-07-11
Belmarsh,781,781,906,871,1.12,1.0, July 2015,2015-07-11
Birmingham,1093,1093,1450,1438,1.32,1.0, July 2015,2015-07-11
Brinsford,545,423,455,389,0.92,0.78, July 2015,2015-07-11
Bristol,425,407,614,592,1.45,0.96, July 2015,2015-07-11
Brixton,528,528,810,790,1.5,1.0, July 2015,2015-07-11
Bronzefield,527,527,527,495,0.94,1.0, July 2015,2015-07-11
Buckley Hall,409,409,455,445,1.09,1.0, July 2015,2015-07-11
Bullingdon,879,879,1114,1101,1.25,1.0, July 2015,2015-07-11
Bure,604,604,637,633,1.05,1.0, July 2015,2015-07-11
Cardiff,539,539,820,807,1.5,1.0, July 2015,2015-07-11
Channings Wood,698,698,724,716,1.03,1.0, July 2015,2015-07-11
Chelmsford,551,551,745,725,1.32,1.0, July 2015,2015-07-11
Coldingley,493,493,521,518,1.05,1.0, July 2015,2015-07-11
Cookham Wood,188,188,188,173,0.92,1.0, July 2015,2015-07-11
Dartmoor,642,639,660,619,0.97,1.0, July 2015,2015-07-11
Deerbolt,513,513,513,384,0.75,1.0, July 2015,2015-07-11
Doncaster,738,738,1145,1120,1.52,1.0, July 2015,2015-07-11
Dovegate,1064,1060,1133,1097,1.03,1.0, July 2015,2015-07-11
Drake Hall,340,340,340,304,0.89,1.0, July 2015,2015-07-11
Durham,591,591,995,923,1.56,1.0, July 2015,2015-07-11
East Sutton Park,100,100,100,97,0.97,1.0, July 2015,2015-07-11
Eastwood Park,410,315,363,334,1.06,0.77, July 2015,2015-07-11
Elmley (Sheppey),943,943,1175,1143,1.21,1.0, July 2015,2015-07-11
Erlestoke,494,494,524,520,1.05,1.0, July 2015,2015-07-11
Exeter,326,318,561,519,1.63,0.98, July 2015,2015-07-11
Featherstone,671,671,703,687,1.02,1.0, July 2015,2015-07-11
Feltham,762,594,594,508,0.86,0.78, July 2015,2015-07-11
Ford,521,521,524,491,0.94,1.0, July 2015,2015-07-11
Forest Bank,1064,1064,1460,1419,1.33,1.0, July 2015,2015-07-11
Foston Hall,303,303,345,295,0.97,1.0, July 2015,2015-07-11
Frankland,859,844,844,833,0.99,0.98, July 2015,2015-07-11
Full Sutton,604,596,616,583,0.98,0.99, July 2015,2015-07-11
Garth,811,738,773,807,1.09,0.91, July 2015,2015-07-11
Gartree,708,708,708,704,0.99,1.0, July 2015,2015-07-11
Glen Parva,637,589,728,528,0.9,0.92, July 2015,2015-07-11
Grendon / Springhill,586,568,568,532,0.94,0.97, July 2015,2015-07-11
Guys Marsh,518,518,579,560,1.08,1.0, July 2015,2015-07-11
Hatfield,310,310,310,278,0.9,1.0, July 2015,2015-07-11
Haverigg,622,622,654,640,1.03,1.0, July 2015,2015-07-11
Hewell,1018,1018,1279,1251,1.23,1.0, July 2015,2015-07-11
High Down,999,931,1095,1087,1.17,0.93, July 2015,2015-07-11
Highpoint (North and South),1299,1274,1300,1300,1.02,0.98, July 2015,2015-07-11
Hindley,534,350,470,445,1.27,0.66, July 2015,2015-07-11
Hollesley Bay,437,387,387,381,0.98,0.89, July 2015,2015-07-11
Holloway,540,533,591,512,0.96,0.99, July 2015,2015-07-11
Holme House,1036,1036,1230,1164,1.12,1.0, July 2015,2015-07-11
Hull,723,723,1056,1012,1.4,1.0, July 2015,2015-07-11
Humber,947,947,1026,1003,1.06,1.0, July 2015,2015-07-11
Huntercombe,370,307,430,427,1.39,0.83, July 2015,2015-07-11
Isis,478,478,628,624,1.31,1.0, July 2015,2015-07-11
Isle of Wight,1070,978,1097,1065,1.09,0.91, July 2015,2015-07-11
Kennet,175,175,342,317,1.81,1.0, July 2015,2015-07-11
Kirkham,657,657,657,594,0.9,1.0, July 2015,2015-07-11
Kirklevington Grange,283,283,283,273,0.96,1.0, July 2015,2015-07-11
Lancaster Farms,495,495,549,527,1.06,1.0, July 2015,2015-07-11
Leeds,669,669,1219,1176,1.76,1.0, July 2015,2015-07-11
Leicester,214,214,411,333,1.56,1.0, July 2015,2015-07-11
Lewes,617,617,722,643,1.04,1.0, July 2015,2015-07-11
Leyhill,515,515,515,481,0.93,1.0, July 2015,2015-07-11
Lincoln,408,403,729,614,1.52,0.99, July 2015,2015-07-11
Lindholme,1048,924,1010,996,1.08,0.88, July 2015,2015-07-11
Littlehey,1154,1153,1219,1210,1.05,1.0, July 2015,2015-07-11
Liverpool,1173,1101,1386,1226,1.11,0.94, July 2015,2015-07-11
Long Lartin,625,625,625,618,0.99,1.0, July 2015,2015-07-11
Low Newton,314,306,344,312,1.02,0.97, July 2015,2015-07-11
Lowdham Grange,900,900,920,917,1.02,1.0, July 2015,2015-07-11
